timestamp,src_ip,dst_ip,protocol,length
2025-10-24 17:29:40.409775,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:40.411410,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:29:40.416207,131.253.33.203,192.168.29.181,6,629
2025-10-24 17:29:40.420008,104.208.16.95,192.168.29.181,6,66
2025-10-24 17:29:40.420008,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.429008,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.429008,192.168.29.181,104.208.16.95,6,415
2025-10-24 17:29:40.434641,192.168.29.181,131.253.33.203,6,66
2025-10-24 17:29:40.439904,104.208.16.95,192.168.29.181,6,54
2025-10-24 17:29:40.439904,104.208.16.95,192.168.29.181,6,153
2025-10-24 17:29:40.443067,192.168.29.181,104.208.16.95,6,701
2025-10-24 17:29:40.460655,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.460655,104.208.16.95,192.168.29.181,6,66
2025-10-24 17:29:40.466948,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.466948,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.466948,192.168.29.181,104.208.16.95,6,351
2025-10-24 17:29:40.466948,104.208.16.95,192.168.29.181,6,66
2025-10-24 17:29:40.466948,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.476186,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.476186,192.168.29.181,104.208.16.95,6,383
2025-10-24 17:29:40.504832,131.253.33.203,192.168.29.181,6,66
2025-10-24 17:29:40.513923,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.517945,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.517945,192.168.29.181,131.253.33.203,6,368
2025-10-24 17:29:40.551502,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:29:40.558181,192.168.29.181,104.208.16.92,6,89
2025-10-24 17:29:40.590909,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.592712,131.253.33.203,192.168.29.181,6,153
2025-10-24 17:29:40.598479,192.168.29.181,131.253.33.203,6,654
2025-10-24 17:29:40.623039,192.168.29.181,224.0.0.22,2,54
2025-10-24 17:29:40.677289,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.679028,131.253.33.203,192.168.29.181,6,1514
2025-10-24 17:29:40.679028,131.253.33.203,192.168.29.181,6,1514
2025-10-24 17:29:40.683842,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.685850,131.253.33.203,192.168.29.181,6,1514
2025-10-24 17:29:40.685850,131.253.33.203,192.168.29.181,6,1514
2025-10-24 17:29:40.692988,131.253.33.203,192.168.29.181,6,247
2025-10-24 17:29:40.694735,104.208.16.95,192.168.29.181,6,54
2025-10-24 17:29:40.694735,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.701438,192.168.29.181,131.253.33.203,6,128
2025-10-24 17:29:40.705361,192.168.29.181,131.253.33.203,6,146
2025-10-24 17:29:40.707371,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.710383,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.716403,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.720419,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.722427,192.168.29.181,131.253.33.203,6,967
2025-10-24 17:29:40.731950,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.742925,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.745757,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.752558,192.168.29.181,131.253.33.203,6,534
2025-10-24 17:29:40.799048,104.208.16.95,192.168.29.181,6,153
2025-10-24 17:29:40.806767,192.168.29.181,104.208.16.95,6,701
2025-10-24 17:29:40.813786,104.208.16.95,192.168.29.181,6,1514
2025-10-24 17:29:40.817990,104.208.16.95,192.168.29.181,6,1514
2025-10-24 17:29:40.826662,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.836945,104.208.16.95,192.168.29.181,6,1514
2025-10-24 17:29:40.845217,104.208.16.95,192.168.29.181,6,1514
2025-10-24 17:29:40.852887,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.867613,104.208.16.95,192.168.29.181,6,579
2025-10-24 17:29:40.888709,192.168.29.181,104.208.16.95,6,128
2025-10-24 17:29:40.894233,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.898247,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.900613,192.168.29.181,104.208.16.95,6,146
2025-10-24 17:29:40.900613,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.900613,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.900613,192.168.29.181,104.208.16.95,6,1293
2025-10-24 17:29:40.913319,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.916343,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.922384,192.168.29.181,104.208.16.95,6,1302
2025-10-24 17:29:40.931503,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.934302,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.938416,192.168.29.181,104.208.16.95,6,1293
2025-10-24 17:29:40.938416,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.944409,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.947141,192.168.29.181,104.208.16.95,6,1326
2025-10-24 17:29:40.954090,104.208.16.95,192.168.29.181,6,54
2025-10-24 17:29:40.956097,104.208.16.95,192.168.29.181,6,54
2025-10-24 17:29:40.956097,104.208.16.95,192.168.29.181,6,153
2025-10-24 17:29:40.956097,192.168.29.181,104.208.16.95,6,669
2025-10-24 17:29:40.963703,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:40.967788,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:40.967788,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:40.967788,104.208.16.95,192.168.29.181,6,153
2025-10-24 17:29:40.967788,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.981083,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.984318,131.253.33.203,192.168.29.181,6,513
2025-10-24 17:29:40.987913,131.253.33.203,192.168.29.181,6,116
2025-10-24 17:29:40.989998,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.992120,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.994287,192.168.29.181,131.253.33.203,6,85
2025-10-24 17:29:40.994287,131.253.33.203,192.168.29.181,6,85
2025-10-24 17:29:40.994287,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:41.000440,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:41.002446,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:41.006459,192.168.29.1,192.168.29.181,17,333
2025-10-24 17:29:41.006459,192.168.29.1,192.168.29.181,17,337
2025-10-24 17:29:41.014358,192.168.29.1,192.168.29.181,17,254
